,feature,importance
0,chem(AND),307.6
1,chem(OR),428.2
2,chem(L-AND),174.60000000000002
3,chem(R-AND),154.6
4,chem(OR-AND),156.4
5,chem(R-L),194.4
6,crop(AND),147.6
7,crop(OR),156.8
8,crop(L-AND),89.2
9,crop(R-AND),79.0
10,crop(OR-AND),106.4
11,crop(R-L),161.8
12,pest(AND),276.6
13,pest(OR),224.8
14,pest(L-AND),188.39999999999998
15,pest(R-AND),104.6
16,pest(OR-AND),87.6
17,pest(R-L),145.4
18,TOTAL(AND),436.0
19,TOTAL(OR),317.40000000000003
20,TOTAL(L-AND),321.8
21,TOTAL(R-AND),152.2
22,TOTAL(OR-AND),166.2
23,TOTAL(R-L),211.0
