,feature,importance
0,chem(AND),319.79999999999995
1,chem(OR),434.79999999999995
2,chem(L-AND),168.60000000000002
3,chem(R-AND),149.39999999999998
4,chem(OR-AND),155.8
5,chem(R-L),186.0
6,crop(AND),134.4
7,crop(OR),156.8
8,crop(L-AND),88.2
9,crop(R-AND),85.8
10,crop(OR-AND),119.0
11,crop(R-L),166.2
12,pest(AND),254.20000000000002
13,pest(OR),208.4
14,pest(L-AND),195.20000000000002
15,pest(R-AND),103.6
16,pest(OR-AND),93.8
17,pest(R-L),141.6
18,TOTAL(AND),426.79999999999995
19,TOTAL(OR),310.8
20,TOTAL(L-AND),313.6
21,TOTAL(R-AND),142.0
22,TOTAL(OR-AND),170.0
23,TOTAL(R-L),208.59999999999997
