Test,Reference
4,15
17,8
22,405
22,428
22,1020
33,340
33,355
33,356
33,429
43,36
43,48
48,36
48,43
53,61
61,53
62,502
62,804
91,99
91,174
91,327
91,467
91,513
91,605
91,1078
91,1358
91,1362
91,1397
98,971
99,91
99,174
99,327
99,467
99,513
99,605
99,1078
99,1358
99,1362
99,1397
101,53
101,61
101,62
101,487
101,496
101,502
101,804
127,1110
167,1144
174,91
174,99
174,467
174,513
174,605
174,958
174,1078
174,1397
196,208
196,217
196,1122
204,63
204,258
207,218
207,227
207,323
207,536
207,729
207,757
207,1043
207,1096
207,1099
208,196
208,217
208,1122
212,221
212,1110
217,196
217,208
217,1122
218,207
218,227
218,323
218,536
218,729
218,757
218,1043
218,1096
218,1099
227,207
227,218
227,323
227,536
227,729
227,757
227,1043
227,1096
227,1099
231,238
231,793
231,952
232,253
240,16
240,146
241,224
241,1071
251,255
252,16
252,169
252,259
252,1145
255,251
258,63
259,16
259,169
259,252
259,1145
280,327
280,958
280,1222
280,1358
280,1394
280,1395
280,1397
284,467
284,958
284,1362
302,308
302,400
302,425
320,322
322,320
323,729
323,1043
327,958
327,1397
328,320
328,322
340,33
340,271
340,355
340,356
340,429
340,599
341,378
346,1045
348,360
348,794
349,769
354,374
354,386
355,33
355,271
355,340
355,356
355,429
355,599
360,348
360,794
364,323
364,729
364,757
364,1043
377,182
378,341
379,320
379,322
386,354
386,374
418,400
418,419
418,425
422,16
422,240
422,252
422,259
432,429
432,1221
466,468
466,483
466,500
467,958
468,466
468,483
468,500
483,466
483,468
483,500
486,53
486,61
486,495
487,53
487,61
487,62
487,496
487,502
487,804
492,62
492,502
492,802
492,804
492,842
492,900
492,914
492,974
492,1047
495,53
495,61
495,486
496,53
496,61
496,62
496,502
496,804
500,466
500,468
500,483
502,62
502,804
512,1031
512,1259
519,942
536,207
536,218
536,227
536,323
536,729
536,757
536,1043
536,1096
536,1099
539,221
543,253
548,63
548,258
550,557
550,569
550,575
551,559
557,550
557,569
557,575
559,551
560,974
567,23
567,33
567,271
567,340
567,355
567,356
567,429
567,555
567,584
567,599
567,736
567,827
567,981
567,1104
567,1359
569,550
569,557
569,575
584,23
584,33
584,271
584,340
584,355
584,356
584,429
584,555
584,567
584,599
584,736
584,827
584,981
584,1104
584,1359
605,91
605,99
605,174
605,467
605,513
605,958
605,1078
605,1397
606,958
606,971
606,978
606,983
606,1358
606,1362
606,1395
606,1397
613,419
613,637
621,623
623,621
626,323
626,729
626,757
626,1043
674,703
729,323
729,1043
736,23
736,33
736,271
736,340
736,355
736,356
736,429
736,599
736,981
736,1359
751,686
757,323
757,729
757,1043
769,349
794,348
794,360
802,1047
804,62
804,502
812,509
826,849
837,62
837,492
837,502
837,554
837,560
837,804
837,842
837,900
837,914
837,920
837,974
837,995
839,863
839,1363
882,316
888,839
888,863
900,62
900,492
900,502
900,802
900,804
900,842
900,914
900,974
900,1047
902,907
907,902
914,62
914,492
914,502
914,802
914,804
914,842
914,900
914,974
914,1047
920,560
920,974
922,934
931,945
934,922
947,23
947,33
947,271
947,340
947,355
947,356
947,429
947,520
947,599
947,736
947,1115
952,231
952,238
978,958
978,971
978,983
978,1362
995,62
995,492
995,502
995,554
995,560
995,804
995,837
995,842
995,900
995,914
995,920
995,974
1017,735
1017,756
1021,481
1021,1013
1026,481
1026,1013
1026,1021
1031,512
1031,1259
1035,22
1035,1079
1035,1396
1043,323
1043,729
1046,341
1046,378
1047,802
1055,931
1055,945
1055,1110
1057,115
1058,1309
1059,1171
1059,1179
1059,1189
1059,1281
1059,1293
1059,1308
1059,1312
1077,429
1078,91
1078,99
1078,174
1078,467
1078,513
1078,605
1078,958
1078,1397
1083,1270
1096,1099
1099,1096
1101,1108
1102,1065
1104,23
1104,33
1104,271
1104,340
1104,355
1104,356
1104,429
1104,599
1104,736
1104,981
1104,1359
1109,207
1109,218
1109,227
1109,323
1109,536
1109,626
1109,729
1109,757
1109,1043
1109,1096
1109,1117
1117,207
1117,218
1117,227
1117,323
1117,536
1117,626
1117,729
1117,757
1117,1043
1117,1096
1117,1109
1122,196
1122,208
1122,217
1138,18
1138,1136
1171,1179
1179,1171
1181,1168
1181,1200
1181,1208
1181,1211
1181,1214
1181,1220
1181,1235
1181,1264
1181,1272
1181,1275
1181,1279
1181,1291
1181,1294
1181,1297
1181,1335
1181,1348
1184,173
1184,1057
1189,1281
1189,1308
1189,1312
1192,210
1192,1189
1192,1240
1192,1246
1192,1281
1192,1308
1192,1312
1200,1208
1200,1235
1200,1272
1200,1275
1200,1279
1200,1291
1200,1294
1200,1297
1208,1200
1208,1272
1208,1275
1208,1279
1208,1291
1208,1294
1208,1297
1211,1168
1211,1181
1211,1200
1211,1208
1211,1214
1211,1220
1211,1235
1211,1241
1211,1264
1211,1272
1211,1275
1211,1279
1211,1291
1211,1294
1211,1297
1211,1335
1211,1348
1212,1215
1214,1168
1214,1181
1214,1200
1214,1208
1214,1211
1214,1220
1214,1235
1214,1241
1214,1264
1214,1272
1214,1275
1214,1279
1214,1291
1214,1294
1214,1297
1214,1335
1214,1348
1215,1212
1220,1168
1220,1181
1220,1200
1220,1208
1220,1211
1220,1214
1220,1235
1220,1241
1220,1264
1220,1272
1220,1275
1220,1279
1220,1291
1220,1294
1220,1297
1220,1335
1220,1348
1221,429
1221,432
1222,1394
1222,1395
1222,1397
1235,1200
1235,1208
1235,1241
1235,1272
1235,1275
1235,1279
1235,1291
1235,1294
1235,1297
1240,210
