文旦柚,文旦,麻豆文旦,柚類
水稻,,,
青蔥,蔥,,
龍鬚菜,,,
韭菜,,,
甘藍,,,
西瓜,瓜類,瓜果類,
芋頭,,,
香蕉,,,
甘藷,,,
玉米,,,
胡瓜,瓜類,瓜菜類,
絲瓜,瓜類,瓜菜類,
洋香瓜,瓜類,瓜果類,
菠菜,,,
萵苣,,,
十字花科,,,
大蒜,,,
茼蒿,,,
落花生,花生,,
田菁,,,
毛豆,豆菜類,,
豌豆,豆菜類,,
蓮花,,,
梨,中國梨,高接梨,
荔枝,玉荷包荔枝,無患子科,
龍眼,無患子科,,
蓮霧,,,
欒樹,台灣欒樹,無患子科,
草莓,草莓苗期,,
柑橘,,,
紅棗,,,
柿子,甜柿,,
桃子,桃,,
李子,,,
枇杷,,,
楊桃,,,
檬果,芒果,,
木瓜,瓜類,瓜果類,
番石榴,芭樂,,
檸檬,,,
印度棗,,,
番茄,小果番茄,橙蜜香番茄,橙果小番茄
馬鈴薯,,,
紅龍果,,,
棗,,,
蜜棗,,,
洋蔥,,,
龍柏,,,
棗子,,,
高粱,,,
大豆,,,
香瓜,瓜類,瓜果類,
南瓜,瓜類,瓜菜類,
橄欖,,,
葡萄,,,
洋桔梗,,,
柑桔,,,
百香果,,,
番荔枝,,,
鳳梨釋迦,釋迦,,
樹豆,豆菜類,,
桶柑,,,
茂谷柑,,,
臍橙,,,
晚崙西亞,晚崙西亞橙,丁香,
荖花,,,
荖葉,,,
水蜜桃,,,
小米,,,
金針,金針菜,,
蘭花,,,
鳳梨,,,
酪梨,,,
杭菊,,,
花卉,,,
白柚,柚類,,
椪柑,,,
柳橙,柳丁,,
西施柚,柚類,,
明尼吉柚,柚類,,
葡萄柚,柚類,,
葫蘆科,,,
茄科,,,
花木,,,
特作,,,
芸香科,,,
綠肥作物,,,
牧草,,,
茶,,,
禾本科雜草,,,
甘蔗,甘庶,,
小麥,,,
梅,,,
可可椰子,,,
結球白菜,,,
苦瓜,瓜類,瓜菜類,
扁蒲,,,
豇豆,豆菜類,,
蔓性作物,,,
蕹菜,,,
秋葵,,,
花椰菜,花菜類,,
園藝作物,,,
芥菜,,,
白菜,,,
蕪菁,,,
聖誕紅,,,
薰衣草,,,
竹筍,,,
蘿蔔,,,
多花菊,,,
玫瑰,,,
唐菖蒲,唐菖浦,,
百合,,,
甜椒,,,
辣椒,,,
茄子,,,
胡麻,,,
花胡瓜,瓜類,瓜菜類,
九層塔,,,
咖啡,,,
桑,,,
非洲菊,,,
佛手瓜,瓜類,瓜菜類,
菊科,,,
蔥科,,,
七里香,月桔,,
烏柑仔,,,
青江白菜,,,
包心白菜,,,
包心芥菜,,,
芥藍菜,,,
樹薯,,,
朱槿,,,
火鶴花,,,
蝴蝶蘭,,,
油菜,,,
薏苡,,,
茭白筍,茭白荀,筊白筍,
甜蜜桃,,,
小白菜,,,
青花菜,花菜類,,
菸草,,,
結球菜類,,,
蘇鐵,,,
薇甘菊,小花蔓澤蘭,,
莧菜,,,
空心菜,,,
向日葵,,,
青梗白菜,,,
蔓澤蘭,心型薇甘菊,,
旋花科,,,
天南星科,,,
睡蓮科,,,
茄果類,,,
紅豆,,,
龍葵,,,
曼陀羅,,,
狼尾草,,,
盤固拉草,,,
林木,,,
棉花,,,
洛神葵,,,
冬瓜,瓜類,,
黑豆,,,
